ID_Pedido,Data_Pedido,ID_Cliente,Segmento,Regiao,Categoria,Produto,Valor_Venda,Quantidade,Desconto,Lucro
OD-1164,2024-09-06,CT-154,Home Office,Sul,Vestuário,Calça Jeans Premium,1123.27,10,0.0,280.82
OD-1065,2025-05-27,CT-140,Corporativo,Nordeste,Material de Escritório,Organizador de Mesa,252.15,6,0.0,100.86
OD-1049,31/07/2024,CT-181,Consumidor,Nordeste,Material de Escritório,Organizador de Mesa,79.36,2,0.0,31.74
OD-1243,2026-02-27,CT-228,Corporativo,Norte,Material de Escritório,Caneta Gel 12un,135.26,8,0.1,41.93
OD-1157,2026-03-10,CT-213,Corporativo,Centro-Oeste,Eletrônicos,Smartphone X,10522.96,9,0.0,1578.44
OD-1339,04/09/2025,CT-199,Consumidor,Sudeste,Material de Escritório,Caderno Universitário,244.66,9,0.2,53.83
OD-1381,27/07/2025,CT-169,Corporativo,Centro-Oeste,Material de Escritório,Caneta Gel 12un,52.52,3,0.0,21.01
OD-1170,2024-09-24,CT-153,Consumidor,Sudeste,Material de Escritório,Caneta Gel 12un,58.26,3,0.0,23.3
OD-1427,2025-08-28,CT-193,Corporativo,Norte,Vestuário,Tênis Casual,569.07,3,0.0,142.27
OD-1148,2025-04-01,CT-218,Home Office,Sudeste,Material de Escritório,Caderno Universitário,207.03,8,0.0,82.81
OD-1394,25/02/2026,CT-134,Consumidor,Norte,Material de Escritório,Caderno Universitário,202.77,9,0.0,81.11
OD-1128,2024-04-14,CT-128,Corporativo,Nordeste,Móveis,Cadeira Ergonômica,3112.48,7,0.0,622.5
OD-1025,29/09/2025,CT-115,Consumidor,Sul, Eletrônicos ,Fone Bluetooth,297.81,2,0.0,44.67
OD-1068,2024-09-15,CT-153,Consumidor,Nordeste,Eletrônicos,Smartphone X,12378.14,10,0.0,1856.72
OD-1004,2024-11-22,CT-172,Corporativo,Centro-Oeste,Eletrônicos,Notebook Pro,25288.02,7,0.05,2971.34
OD-1437,2025-06-30,CT-238,Consumidor,Nordeste,Vestuário,Calça Jeans Premium,551.6,5,0.1,96.53
OD-1407,"May 25, 2025",CT-240,Consumidor,Sudeste,Material de Escritório,Organizador de Mesa,363.32,10,0.0,145.33
OD-1373,2025-04-12,CT-116,Home Office,Sudeste,Material de Escritório,Papel A4 500fls,30.57,1,0.0,12.23
OD-1320,25/01/2024,CT-158,Corporativo,Sudeste,Móveis,Cadeira Ergonômica,1433.68,3,0.05,236.56
OD-1087,2024-06-26,CT-105,Consumidor,Nordeste,Eletrônicos,Carregador Rápido,190.31,3,0.0,28.55
